Date,UserName,Comment,Like
2025-10-16T04:09:14Z,@yantihanifahgolagolasabiak,"APA YG TERJADI ,SUDAHLAH TERJADI.<br>MAAFKAN APA YG SDH SY KOMENTAR KEKECEWAAN.<br><br>KOCHI TETAPLAH PUNDIT TERBAIK HARI INI.<br>GOD BLESS KOCHI",0
2025-10-16T04:08:55Z,@timoderner8627,"Gw sedikit menarik sama pembahasan u23 yang dianggap sukses dibawah sty, gw ga anti sty, seperti yang dikatakan usia 23 dibeberapa negara masih usia pembinaan, sedangkan Indonesia dengan sty yang memotong generasi menyebabkan rata² pemain u23 kita adalah pemain yang sudah pernah bermain di senior. Tapi menariknya ketika kita ketemu dengan tim seniornya kita malah keteteran dan terpaksa main parkir bus",0
2025-10-16T04:08:54Z,@muhammadilhamdarmawan484,1:005:39 spill bobroknya PSSI😂,0
2025-10-16T04:08:51Z,@dyok17,Intinya smua salah sty.  Gara2 dia kita ada harapan masuk pildun walaupun secara realistis gak realistis . Dan jgn pula justin pernah bilang gara2 sty dia nonton timnas hahhaahahh .  <br>Udah lah omongan justin itu gak bisa di pegang tpi berubah2 wkwkw kmren dia bilanh gak logis klo di pecat smua butuh proses wkwkw pdhal secara logika klo smua memang butuh proses ya kenapa di ganti kan gak ada waktu untuk ber proses wkwkwk ehhh tiba2 skrnh dia bilamh pecat . Hati2 sih sma si justin sma towel,0
2025-10-16T04:08:09Z,@AndaiAnn,Selain pelatih2 asal belanda banyak pelatih2 asal negara lain juga yg paham dan bagus untuk filosofi total football<br>Tapi kenapa harus spesifik pelatih belanda kalo gitu <br>Contoh pelatih asal Jerman atau Spanyol kaya Pep atau Klop gtu yg paling populer<br>Kan aneh di asia juga ada pelatih yg bisa total football macam pelatih korea atau jepang<br>Botak ini cuma Belandasentris bukan memilih pelatih secara objektive meski tahu ada pelatih asal negara lain jg ada😂,0
2025-10-16T04:08:08Z,@imantoqit,Baru ngeh yang subscribe lebih sedikit dari penonton 😂😂,0
2025-10-16T04:07:41Z,@rianskot,"Semua sudah terjadi, yang diuntungkan ialah pihak pihak yang dapat &#39;angka&#39; dari kejadian ini, sedangkan penonton hanya bisa meratap sedih",0
2025-10-16T04:07:29Z,@addsmann,"<a href=""https://www.youtube.com/watch?v=BLZxxroO2Wo&amp;t=791"">13:11</a> Mas Ferry, pelatih Inggris sekarang, Thomas Tuchel dari Jerman. Didikan DFB.",0
2025-10-16T04:06:04Z,@NizarKulur,"<a href=""http://www.youtube.com/results?search_query=%23justin"">#justin</a><br>Makan tu formasu 4-3-3<br>Lu hanya mengerti formasi tapi g ngerti komposisi pemain kita....bodoh sekali",0
2025-10-16T04:04:05Z,@rocket_pi,"<a href=""https://www.youtube.com/watch?v=BLZxxroO2Wo&amp;t=1090"">18:10</a> bisa bisa nya ngeblame netizen kalah dikit pecat. gak ada yang minta sty dipecat selain buzzer erick. orang indo mayoritas tau diri dan objektif asalkan sistem permainan jelas kayak sty main bertahan dan counternya bagus mau kalah kayak lawan argentina juga pada bangga.",0
2025-10-16T04:05:55Z,@danilsaiyan2862,"pdhl bacot dia sendiri yang bilang, even STY lolosin indonesia ke Pildun ttp harus dipecat juga. emg pret omongan si botak",0
2025-10-16T04:03:38Z,@soccerindo62,"Tapi Justin jelas ikut menjadi bagian pembenaran sty untuk di pecat..karena situasi SDH di kondisikan di belakang layar ..menangpun tetap di kritik ...towel,botak,Akmal,sinulingga.erik harus tanggung jawab",0
2025-10-16T04:02:53Z,@amalia9079,"diskriminasi pemain, oke kita akui bahwa pemain keturunan diatas kita kualitasnya, tapi mau sampai kapan kita mengharapkan itu ? cari solusi bukan instan, kalau mau timnas di isi pemain hebat dan setara kaya  pemain keturunan ya harusnya pembinaannya dong di benahi, pemain wajib abroad lah, liga nya di benahi juga, kog kaya BENCI banget ya sama pemain lokal sendiri. cari solusi, dan itu butuh waktu, jangan apa-apa pemain diaspora, kita tetep butuh mereka, dan bagaimana dengan mimpi anak2 Indonesia lain yang ingin membela Indonesia ke depannya kalau semua pemain diaspora tanpa ada pembenahan dari federasi???",0
2025-10-16T04:02:42Z,@muhammadfiqrilmubarok1856,belanda belanda belandaaaaa,0
