Date,UserName,Comment,Like
2025-10-16T04:09:14Z,@yantihanifahgolagolasabiak,apa yg jadi jadi maaf apa yg sdh sy komentar kecewa kochi tetap pundit baik hari god bless kochi,0
2025-10-16T04:08:55Z,@timoderner8627,gw sedikit tarik sama bahas u23 anggap sukses bawah sty gw ga anti sty kata usia beberapa negara usia bina sedang indonesia sty potong generasi rata main u23 main pernah main senior tarik ketemu tim senior malah keteter paksa main parkir bus,0
2025-10-16T04:08:54Z,@muhammadilhamdarmawan484,spill bobrok pssi,0
2025-10-16T04:08:51Z,@dyok17,inti smua salah sty gara2 harap masuk pildun walaupun cara realistis gak realistis jgn justin pernah bilang gara2 sty nonton timnas hahhaahahh udah lah omong justin gak pegang tpi berubah2 wkwkw kmren bilanh gak logis klo pecat smua butuh proses wkwkw pdhal cara logika klo smua memang butuh proses ganti kan gak waktu ber proses wkwkwk ehhh tiba2 skrnh bilamh pecat hati2 sih sma si justin sma towel,0
2025-10-16T04:08:09Z,@AndaiAnn,pelatih2 asal belanda banyak pelatih2 asal negara yg paham bagus filosofi total football spesifik latih belanda kalo gitu contoh latih asal jerman spanyol kaya pep klop gtu yg paling populer kan aneh asia latih yg total football macam latih korea jepang botak cuma belandasentris bukan pilih latih cara objektive meski tahu latih asal negara jg,0
2025-10-16T04:08:08Z,@imantoqit,baru ngeh subscribe lebih sedikit tonton,0
2025-10-16T04:07:41Z,@rianskot,semua jadi untung ialah pihak pihak angka jadi sedang tonton ratap sedih,0
2025-10-16T04:07:29Z,@addsmann,mas ferry latih inggris sekarang thomas tuchel jerman dik dfb,0
2025-10-16T04:06:04Z,@NizarKulur,lu erti formasi g ngerti komposisi main bodoh sekali,0
2025-10-16T04:04:05Z,@rocket_pi,nya ngeblame netizen kalah dikit pecat gak minta sty pecat buzzer erick orang indo mayoritas tau diri objektif asal sistem main jelas kayak sty main tahan counternya bagus mau kalah kayak lawan argentina bangga,0
2025-10-16T04:05:55Z,@danilsaiyan2862,pdhl bacot sendiri bilang even sty lolosin indonesia pildun ttp pecat emg pret omong si botak,0
2025-10-16T04:03:38Z,@soccerindo62,justin jelas ikut jadi benar sty pecat situasi sdh kondisi belakang layar menang tetap kritik towel botak akmal sinulingga erik tanggung jawab,0
2025-10-16T04:02:53Z,@amalia9079,diskriminasi main oke aku main turun atas kualitas mau kapan harap cari solusi bukan instan kalau mau timnas isi main hebat tara kaya main turun bina dong benah main wajib abroad lah liga nya benah kog kaya benci banget sama main lokal sendiri cari solusi butuh waktu jangan apa apa main diaspora tetep butuh bagaimana mimpi anak2 indonesia bela indonesia depan kalau semua main diaspora benah federasi,0
2025-10-16T04:02:42Z,@muhammadfiqrilmubarok1856,belanda belanda belandaaaaa,0
2025-10-16T04:02:13Z,@farrasberkah5637,klo bicara budaya bangsa arti sdh on the track main sepakbola budaya ramah jadi sdh hasil ramah beri menang tim lawan trus abis jabat laku korupsi belakang kan anjay klo budaya masyarakat bawa sepakbola,0
2025-10-16T04:01:51Z,@KangJow-y6q,sibuk sepakbola sekolah sma smp uang angka tawur lo gatau nyata lapang apa koci gw aja teman teman gw punya gairah hasrat jadi main bola sma langsung pupus pihak sekolah selalu larang main olahraga sebut jadi laku negatif tawur kurang nya giat,0
2025-10-16T04:01:41Z,@WaEL-w1p,emg tuchel orng inggris baru tau w,0
