Comment;Label
apa yg jadi jadi maaf apa yg sdh sy komentar kecewa kochi tetap pundit baik hari god bless kochi;positif
gw sedikit tarik sama bahas u23 anggap sukses bawah sty gw ga anti sty kata usia beberapa negara usia bina sedang indonesia sty potong generasi rata main u23 main pernah main senior tarik ketemu tim senior malah keteter paksa main parkir bus;netral
spill bobrok pssi;negatif
inti smua salah sty gara2 harap masuk pildun walaupun cara realistis gak realistis jgn justin pernah bilang gara2 sty nonton timnas hahhaahahh udah lah omong justin gak pegang tpi berubah2 wkwkw kmren bilanh gak logis klo pecat smua butuh proses wkwkw pdhal cara logika klo smua memang butuh proses ganti kan gak waktu ber proses wkwkwk ehhh tiba2 skrnh bilamh pecat hati2 sih sma si justin sma towel;negatif
pelatih2 asal belanda banyak pelatih2 asal negara yg paham bagus filosofi total football spesifik latih belanda kalo gitu contoh latih asal jerman spanyol kaya pep klop gtu yg paling populer kan aneh asia latih yg total football macam latih korea jepang botak cuma belandasentris bukan pilih latih cara objektive meski tahu latih asal negara jg;negatif
baru ngeh subscribe lebih sedikit tonton;netral
semua jadi untung ialah pihak pihak angka jadi sedang tonton ratap sedih;netral
mas ferry latih inggris sekarang thomas tuchel jerman dik dfb;netral
lu erti formasi g ngerti komposisi main bodoh sekali;negatif
nya ngeblame netizen kalah dikit pecat gak minta sty pecat buzzer erick orang indo mayoritas tau diri objektif asal sistem main jelas kayak sty main tahan counternya bagus mau kalah kayak lawan argentina bangga;positif
pdhl bacot sendiri bilang even sty lolosin indonesia pildun ttp pecat emg pret omong si botak;negatif
justin jelas ikut jadi benar sty pecat situasi sdh kondisi belakang layar menang tetap kritik towel botak akmal sinulingga erik tanggung jawab;negatif
diskriminasi main oke aku main turun atas kualitas mau kapan harap cari solusi bukan instan kalau mau timnas isi main hebat tara kaya main turun bina dong benah main wajib abroad lah liga nya benah kog kaya benci banget sama main lokal sendiri cari solusi butuh waktu jangan apa apa main diaspora tetep butuh bagaimana mimpi anak2 indonesia bela indonesia depan kalau semua main diaspora benah federasi;netral
belanda belanda belandaaaaa;negatif
klo bicara budaya bangsa arti sdh on the track main sepakbola budaya ramah jadi sdh hasil ramah beri menang tim lawan trus abis jabat laku korupsi belakang kan anjay klo budaya masyarakat bawa sepakbola;positif
