username,review,rating,tahun,aplikasi,clean_text
Lisna Wantin,sering elor,1,2025,bca,elor
Hans Kurniawan,"lemot, dikit-dikit lost connection. harus tunggu hijau lagi, lama",1,2025,bca,lama dikitdikit lost connection tunggu hijau lama
Abdurrachman Habib,gak bisa verifikasi muka ...,1,2025,bca,tidak bisa verifikasi muka
Rus Tio123,ATM ga jls tiba² kena aja verifikasi ulang lah registrasi ulang lah apa lah sampe ngga bisa TF di suruh bikin surat permohonan padahal ngga ada di apa²in tiba² begitu cape banget pake ATM BCA ni ga jelas,1,2025,bca,atm tidak jls kena verifikasi ulang registrasi ulang tidak bisa transfer suruh surat mohon tidak apain cape banget pakai atm bca tidak
shela zea (firman),apk ny skrng aneh ntah admin nya di pesan ga jawab² login pun. di persulit smpe2 sya pke hp 2 pun ga bisa masuk hdeh,1,2025,bca,aplikasi ny skrng aneh ntah pesan tidak login sulit smpe sya pakai handphone tidak bisa masuk hdeh
Dika Prayitno,saya kira hp saya rusak. tp di lihat dari ulasan ya begitu.. update terbaru malah lemot dan setelahnya aplikasi tidak bisa di gunakan. cari solusi ga dapat2 eh disini solusinya.. update terbaru malah error dan tidak bisa di gunakan.. kecewa sih,1,2025,bca,handphone rusak lihat ulas update baru lama telah aplikasi tidak bisa cari solusi tidak eh solusi update baru error tidak bisa kecewa
Ichsan Fadilah,tidak bisa di Download,1,2025,bca,tidak bisa download
Rhedo Setiawan P,"woilah, scan qris pending berkali"". gagal. tapi saldo ga di balikin, agak lain bca ni balikin bah udah berhari"" ini lumayan banyak ilang_-",1,2025,bca,woilah scan qris pending kali gagal saldo tidak balikin bca balikin bah hari lumayan ilang
Fadil Alfi,Kebanyakan update gak jelas,1,2025,bca,banyak update tidak
Muhamad Rizki,di update jadi lemot dan eror,1,2025,bca,update lama error
Robi,"Kenapa jadi susah ya sekarang, sinyal merah terus!!",1,2025,bca,susah sinyal merah
Yogi Sinaga,"sinyal normal stabil, lampu gk kunjung hijau udh coba logout berkali kali, udh refresh mode pswt ttp aja,",1,2025,bca,sinyal normal stabil lampu tidak kunjung hijau coba logout kali refresh mode pswt
Marissa Putri Ayu,"apk nya tolol bngt kalo mau d pake refresh mllu ,nunggu lampu ijo aj Kya ap'n tau bikin malu aj ,suka keluar apk sendri kalo lagi d gunain tolong jngan d perbarui mllu TPI layanannya lemot",1,2025,bca,aplikasi tolol banget pakai refresh mllu nunggu lampu ijo aj kya apn malu aj suka aplikasi sendri gunain tolong jngan baru mllu layan lama
Al First,"gimna ini msih blum bisa pindah divice gara2 gk muncul verifikasi. udh kirim SMS setelah masukin no kartu ATM ny ttep aja gk bisa, masa harus ke bank langsung jir",1,2025,bca,gimna msih blum bisa pindah divice gara tidak muncul verifikasi kirim pesan masukin no kartu atm ny ttep tidak bisa bank langsung jir
Foxy DMO,MUTASI DI KASIH DETAIL JAM KAYAK BANK LAIN,1,2025,bca,mutasi kasih detail jam bank
