username,review,rating,tahun,aplikasi
Bangbang Sugito,susah masuk kode otp ratusan x ga kekirim makin kesini makin parah,1,2025,bca
KECOA Bogor,"Udah capek capek lama isi pendaftaran habis itu disuruh nunggu video call, Pas video call semua data saya udah benar malah di bilang ada yang salah tanpa ngasih tau kesalahannya, dan langsung disuruh ke kantor cabang BCA 😂😂Kalo gitu ngapain dari awal daftar udahlah ribet,udah mau tahun 2026 daftar kek gini aja dibikin ribet, pantes rating 4.0, Tim BCA otaknya duit ya?gak mau ngelayanin pengguna lewat online?Otak ada gak?",1,2025,bca
Aryo Setho,SERING LAGGG. ERROR GAK BISA TRANSFER KE REKENING LAIN,1,2025,bca
Havid Karadin,Kenapa sekarang jadi sering trobel ya,2,2025,bca
muhammad surya,pertama enak buka setelah saya hapus lalu di installagi gak bisa buka hade,1,2025,bca
LaRazSatie SI,"BCA mengecewakan bgtttttttt setelah diperbarui selama 2 bln terakhir BCA ku jadi error terus mana posisi mau bayar ..... sudah sampai tlp ke operator katanya tidak ada kendala dipastikan jgn berkurang jaringan nya lah dll. padahal jaringan fulll, pakai data jugaaa tp malah tulisan something went wrong terusss sumpah sih baru kali ini kecewa sama BCA yg padahal GK pernah bermasalah sebelum nya",1,2025,bca
Yx,aplikasi busuk,1,2025,bca
Firhan Apriliansyah,"notifikasi lambat,verifikasi bug",1,2025,bca
Joilayanti S,"ngeleg parah, padahal udah hijau tetap aja gak bisa digunakan sampe pindah-pindah jaringan dari wifi ke data seluler tetap aja gak bisa",1,2025,bca
Silverianus Gato,"mesin ATM BCA paling buruk di kelapa dua, alfamart, Arcadia Grande F. 20 ATM ketelan tiba2 ga jelas. kejadian yg kedua kali nya, BCA nya untung banyak,ngurus ATM baru kena biaya kartu 20 rb",1,2025,bca
Sance Lipu,"Tolonglah listrik saya sering habis tengah malam dan saya butuh isi token secepat mungkin, tapi aplikasi kalian selalu bermasalah tengah malam untuk melakukan transaksi dan disuruh cek mutasi rekening, buat apa coba cek mutasi? Dan ini bukan cuma 1 kali loh... Sudah saya cek untuk update dan clear cache tapi ga ada gunanya. Tolonglah perbaiki aplikasi kalian",2,2025,bca
Nofandi Arif,"nyesel pake BCA ..top up flazz BCA yang gagal transaksi,uang dah hilang .bukanya di ganti malah kebanyakan ngomong akhirnya saya gantiin uang bos saya , di sangka saya nyuri padahal masalah transaksi gagal di jelasin sampai detail.. saya ungkit ke direktur nya demi Allah",1,2025,bca
Bilqhy Almuhyi,bikin emosi klu LG mbangking makin ksini susah bgt masuk..w LG di desa susah cari ATM woiiiii,1,2025,bca
Tiara Denisa,"hal yg saya benci dari aplikasi ini adalah betapa belibetnya proses buat masuk ke aplikasi apabila terjadi error sama kartu sim, saya nyoba buat masuk ke mbanking sampe rela beli pulsa tpi respon dari aplikasinya disuruh registrasi ulang di atm. borosin pulsa banget",1,2025,bca
Faqih Nurdin,bikin gdeg . laayanan transaksi tidak bisa saat ini coba kembali lagi nanti . cuman buat pindah data dari hape lama ke hape baru. udah 4 kali percobaan ttp ajj ddi persulit.. udah lewat verifikasi lewatt sms dan. ada biyaya nya .. kurang puas dngn sistem Kya ginii,1,2025,bca
Rayu Januar,aplikasi lemot gajelas,1,2025,bca
jatna paisley,"Untuk Developer, mending kalian segera benahi aplikasi nya. Banyak yang ngeluh indikator merah menuju hijau sangat lama, ada jeda setiap kali klik suatu pilihan, dan font yang kurang bagus, lalu notifikasi yang lama muncul nya. Mending kalian segera atasi dan benahi, sebelum pelanggan M BCA pada pindah ke yang lain.",1,2025,bca
