username,review,tahun,aplikasi,clean_text,sentiment_score,label
Lisna Wantin,sering elor,2025,bca,elor,0,netral
Hans Kurniawan,"lemot, dikit-dikit lost connection. harus tunggu hijau lagi, lama",2025,bca,lama dikitdikit lost connection tunggu hijau lama,-2,negatif
Abdurrachman Habib,gak bisa verifikasi muka ...,2025,bca,tidak bisa verifikasi muka,0,netral
Rus Tio123,ATM ga jls tiba² kena aja verifikasi ulang lah registrasi ulang lah apa lah sampe ngga bisa TF di suruh bikin surat permohonan padahal ngga ada di apa²in tiba² begitu cape banget pake ATM BCA ni ga jelas,2025,bca,atm tidak jls kena verifikasi ulang registrasi ulang tidak bisa transfer suruh surat mohon tidak apain cape banget pakai atm bca tidak,0,netral
shela zea (firman),apk ny skrng aneh ntah admin nya di pesan ga jawab² login pun. di persulit smpe2 sya pke hp 2 pun ga bisa masuk hdeh,2025,bca,aplikasi ny skrng aneh ntah pesan tidak login sulit smpe sya pakai handphone tidak bisa masuk hdeh,-1,negatif
Dika Prayitno,saya kira hp saya rusak. tp di lihat dari ulasan ya begitu.. update terbaru malah lemot dan setelahnya aplikasi tidak bisa di gunakan. cari solusi ga dapat2 eh disini solusinya.. update terbaru malah error dan tidak bisa di gunakan.. kecewa sih,2025,bca,handphone rusak lihat ulas update baru lama telah aplikasi tidak bisa cari solusi tidak eh solusi update baru error tidak bisa kecewa,-3,negatif
Ichsan Fadilah,tidak bisa di Download,2025,bca,tidak bisa download,0,netral
Rhedo Setiawan P,"woilah, scan qris pending berkali"". gagal. tapi saldo ga di balikin, agak lain bca ni balikin bah udah berhari"" ini lumayan banyak ilang_-",2025,bca,woilah scan qris pending kali gagal saldo tidak balikin bca balikin bah hari lumayan ilang,-1,negatif
Fadil Alfi,Kebanyakan update gak jelas,2025,bca,banyak update tidak,0,netral
Muhamad Rizki,di update jadi lemot dan eror,2025,bca,update lama error,-2,negatif
Robi,"Kenapa jadi susah ya sekarang, sinyal merah terus!!",2025,bca,susah sinyal merah,-1,negatif
Yogi Sinaga,"sinyal normal stabil, lampu gk kunjung hijau udh coba logout berkali kali, udh refresh mode pswt ttp aja,",2025,bca,sinyal normal stabil lampu tidak kunjung hijau coba logout kali refresh mode pswt,0,netral
